"NE.entrezIDs","NE.Symbol","NE.logFC","NE.AveExpr","NE.t","NE.P.Value","NE.adj.P.Val","NE.B","NS.entrezIDs","NS.Symbol","NS.logFC","NS.AveExpr","NS.t","NS.P.Value","NS.adj.P.Val","NS.B","SE.entrezIDs","SE.Symbol","SE.logFC","SE.AveExpr","SE.t","SE.P.Value","SE.adj.P.Val","SE.B"
"8915",1774,-0.191451038455933,3.48434139927594,-1.37628286300643,0.178628996424098,0.357524328087733,-5.85672938072761,"8915",1774,-0.0739196967319375,3.48434139927594,-0.52827265837449,0.601084792967739,0.999782085767823,-4.69256594464817,"8915",1774,-0.117531341723995,3.48434139927594,-0.863200393363286,0.394679576342829,0.609949812855004,-6.38570996998675
"919",3197,-3.26005135607822,2.66354306627277,-6.31115266371033,5.15550920241667e-07,7.4244370426761e-05,6.24578358174464,"919",3197,-0.64093316409579,2.66354306627277,-1.05805293069327,0.298234805463732,0.999782085767823,-4.59200252527559,"919",3197,-2.61911819198243,2.66354306627277,-5.68640566628689,3.03822472273357e-06,0.000301250338843316,4.50768345917202
"925",5608,-2.40926103994531,3.37509819617063,-4.69083536908598,5.23780678376997e-05,0.00141222266426486,1.69991879880252,"925",5608,-0.670272966929194,3.37509819617063,-1.17889078818085,0.247442016771991,0.999782085767823,-4.57092705758538,"925",5608,-1.73898807301611,3.37509819617063,-3.87144835530419,0.000523713866366881,0.00913020048148696,-0.579252468162547
"926",5609,-3.11822218299528,0.833188241095532,-4.41648424625049,0.000114138109826653,0.00248227546523139,1.1943845858304,"926",5609,-0.703528362829179,0.833188241095532,-0.866857808035515,0.392703271018678,0.999782085767823,-4.60457461038243,"926",5609,-2.4146938201661,0.833188241095532,-3.92509538653586,0.000451642777736243,0.00825300326102113,-0.117617594795094
"7535",5867,-3.52399979180671,3.82102060418055,-7.03711767265585,6.81228607110019e-08,2.74003086589042e-05,8.16166217080004,"7535",5867,-0.409269228219016,3.82102060418055,-0.71209500788543,0.481749548799432,0.999782085767823,-4.6466478759209,"7535",5867,-3.1147305635877,3.82102060418055,-6.81782888975506,1.24896966098323e-07,6.72809207730332e-05,7.55291512282317
"214",8897,0.663388601995382,6.79596066037917,3.03300571647488,0.00487337835373007,0.0347833642744145,-2.95729316302426,"214",8897,0.00321372510008455,6.79596066037917,0.0145550579384523,0.988480748420047,0.999820549618639,-4.80689493815578,"214",8897,0.660174876895297,6.79596066037917,3.01192602732193,0.00514144345280251,0.0414426465103264,-2.95499700297711
"50852",8930,-4.1876639118293,-0.363413759899514,-6.2615814677518,5.92932736181699e-07,8.08380404617721e-05,5.92365074134392,"50852",8930,-0.971752674074313,-0.363413759899514,-1.24146790272764,0.22377683675543,0.999782085767823,-4.58442362061546,"50852",8930,-3.21591123775499,-0.363413759899514,-5.57752058430976,4.1469343799848e-06,0.000373031710644921,4.24333451932217
"84433",16909,-3.81181684587926,2.64309427314664,-6.61291067667962,2.21000350294057e-07,4.47894470194658e-05,7.06496457772866,"84433",16909,-0.301828703364111,2.64309427314664,-0.428398085483885,0.671333549800444,0.999782085767823,-4.64446027162763,"84433",16909,-3.50998814251515,2.64309427314664,-6.52519438091091,2.82480580547259e-07,8.7993224883943e-05,6.82538099594617
"30968",21415,0.352799058728008,5.70241815492786,3.90283534150528,0.000480287221394072,0.00688135656859438,-0.748314753497298,"30968",21415,0.210369832052779,5.70241815492786,2.35382907456848,0.0251225488763181,0.999782085767823,-3.92526516015259,"30968",21415,0.14242922667523,5.70241815492786,1.5798828403,0.12431962304763,0.30601697781289,-5.8053735265168
"6850",21964,-0.109380896141038,6.46701338896031,-0.606038748415625,0.548916491882404,0.715234951081896,-6.90005224899156,"6850",21964,0.21618426895791,6.46701338896031,1.20915112418233,0.235777722618271,0.999782085767823,-4.55657228515152,"6850",21964,-0.325565165098948,6.46701338896031,-1.81126822663297,0.0798330423072648,0.23225744650283,-5.4403108135562
"54518",23190,-2.25477213129187,3.18706442986276,-5.13653580105746,1.46541018540298e-05,0.000591964656145081,2.92302400886414,"54518",23190,0.159390782623864,3.18706442986276,0.303848639583855,0.763280371614803,0.999782085767823,-4.67326668273794,"54518",23190,-2.41416291391573,3.18706442986276,-5.5266546133782,4.79619470323978e-06,0.000383306013247666,4.03852290310323
